include_sos,mapped,sos_category,sos_category,legacy_densho_id,densho_id,sos_facility_uid,legacy_facility_type,facility_name,encyc_url,encyc_article_title,encyc_article_status,date_opened,date_closed,location_description,population_description,exclusion_orders,exit_destinations,duration_class,popsize_class,peak_population,peak_popdate,location_name,location_state,location_tgn,geo_latitude,geo_longitude,notes
yes,yes,wra,Concentration Camp,1,1-w-topa,w-topa,Concentration Camp,Topaz (Central Utah),https://encyclopedia.densho.org/Topaz/,Topaz (Central Utah),published,"September 11, 1942","October 31, 1945","Located at 4,600 feet of elevation in west-central Utah, Topaz was set in Millard County near the town of Delta, 140 miles southwest of Salt Lake City. Topaz Mountain was 9 miles northwest. The 19,800 acres of extremely flat terrain were within the Sevier Desert. Dust was a major problem. Temperatures range from 106 degrees in summer to -30 degrees in winter. Vegetation is mainly high desert brush.","Most of those held in Topaz were from the San Francisco Bay area: Alameda, San Francisco, and San Mateo Counties in California.",,,,,"8,130",1943-03-17,"Delta, Utah",Utah,tgn/2108812,39.3521777,-112.57717,
yes,yes,wra,Concentration Camp,2,2-w-post,w-post,Concentration Camp,Poston (Colorado River),https://encyclopedia.densho.org/Poston_(Colorado_River)/,Poston (Colorado River),published,"June 2, 1942","November 28, 1945","Located at 320 feet of elevation in southwestern Arizona on the Colorado River Reservation in Yuma County (now La Paz), 12 miles south of the town of Parker. The Colorado River runs 2 1/2 miles to the west. The 71,000 acres in the lower Sonoran desert are near the California border. The harsh climate featured hot and humid summers and cold winter nights. Dust was a constant problem.","Held people from Arizona, Oregon, and Washington. Salinas, Santa Anita, and Pinedale Assembly Centers in California as well as Mayer Assembly Center, Arizona, sent their populations here.",,,,,"17,814",1942-09-02,"Parker, Arizona",Arizona,tgn/2007106,34.1500162,-114.2891177,
yes,yes,wra,Concentration Camp,3,3-w-gila,w-gila,Concentration Camp,Gila River,https://encyclopedia.densho.org/Gila_River/,Gila River,published,"July 20, 1942","November 10, 1945","Located in a valley within the Gila River Indian Reservation in Pinal County, 50 miles south of Phoenix, 3 miles north of the Sacaton Mountains. Consisted of two separate camps: Canal and Butte, located 3.5 miles apart between irrigation canals. The 16,500 acres are in an arid desert valley with average summer temperatures over 100 degrees. Vegetation includes mesquite, creosote, and cactus.","Held people from Los Angeles, Sacramento, and Amador Counties; 3,000 were sent from southern San Joaquin Valley; also held 155 Japanese immigrants from Hawaii. Canal Camp housed people from the Turlock Assembly Center and San Joaquin Valley, while Butte Camp housed people from the Tulare and Santa Anita Assembly Centers.",,,,,"13,348",1942-11-30,"Sacaton, Arizona",Arizona,tgn/7015593,32.2212596,-109.1865412,
yes,yes,wra,Concentration Camp,4,4-w-gran,w-gran,Concentration Camp,Granada (Amache),https://encyclopedia.densho.org/Amache_(Granada)/,Granada (Amache),published,"August 27, 1942","October 15, 1945","Located at 3,600 feet of elevation on a wind-swept prairie in southeastern Colorado 140 miles east of Pueblo, 16 miles east of Lamar, and 15 miles west of the Kansas border. The Arkansas River runs 2 1/2 miles north of the camp, but the 10,500 acres of land is arid when not irrigated. Vegetation includes wild grasses, sagebrush, and prickly pear cactus.","Held people from California: Los Angeles, San Diego, and Santa Clara Counties (Merced and Santa Anita Assembly Centers), northern California coast, west Sacramento Valley, and the northern San Joaquin Valley.",,,,,"7,318",1943-02-01,"Granada, Colorado",Colorado,tgn/2015676,38.05692,-102.3234389,
yes,yes,wra,Concentration Camp,5,5-w-hear,w-hear,Concentration Camp,Heart Mountain,https://encyclopedia.densho.org/Heart_Mountain/,Heart Mountain,published,"August 12, 1942","November 10, 1945","Located on 46,000 acres in Park County in northwest Wyoming, 12 miles northwest of Cody, in open sagebrush desert at 4,700 feet of elevation near the Shoshone River. Heart Mountain, 8 miles to the west, creates a dramatic backdrop. Dust storms are common. Winters are severe, with lows dipping to -30 degrees.","Held people from Los Angeles, Santa Clara, and San Francisco, California; Yakima, Washington; and Oregon.",,,,,"10,767",1943-01-01,"Cody, Wyoming",Wyoming,tgn/7013629,44.52634219999999,-109.0565308,
yes,yes,wra,Concentration Camp,6,6-w-jero,w-jero,Concentration Camp,Jerome,https://encyclopedia.densho.org/Jerome/,Jerome,published,"October 6, 1942","June 30, 1944","Located in the Mississippi River delta region 12 miles west of the Mississippi River, 18 miles south of McGehee, 120 miles southeast of Little Rock. The 10,000-acre area was impoverished and consisted of heavily wooded swampland. It was 27 miles south of the Rohwer incarceration camp. Summers were hot and humid, with chiggers, mosquitoes, and poisonous snakes.","Held people from Los Angeles, Fresno, and Sacramento, California; also held people from Honolulu, Hawaii.",,,,,"8,497",1943-02-11,"Denson, Arkansas",Arkansas,tgn/2008597,35.4263645,-91.4556901,
yes,yes,wra,Concentration Camp,7,7-w-manz,w-manz,Concentration Camp,Manzanar,https://encyclopedia.densho.org/Manzanar/,Manzanar,published,"June 2, 1942","November 21, 1945","Located at 3,900 feet of elevation in the desert of the southern Owens Valley in east-central California, 220 miles north of Los Angeles, 250 miles south of Reno, between the towns Lone Pine and Independence. The 6,000 acres are framed by the Sierra Nevada mountains to the west and the White-Inyo range to the east. Summers are hot, winters cold; annual rainfall is under 6 inches, although the area has rivers fed from mountain runoff. Vegetation is mostly sagebrush.","Over 90 percent of the people held here were from the Los Angeles, California, area; others were from Stockton, California, and Bainbridge Island, Washington.",,,,,"10,046",1942-09-22,"Manzanar, California",California,tgn/4006871,36.7285184,-118.1462987,
yes,yes,wra,Concentration Camp,8,8-w-mini,w-mini,Concentration Camp,Minidoka,https://encyclopedia.densho.org/Minidoka/,Minidoka,published,"August 10, 1942","October 28, 1945","Located at 4,000 feet of elevation on uneven terrain in southern Idaho, Minidoka is in the Snake River Plain of Jerome County, 15 miles east of Jerome and 15 miles north of Twin Falls. The 33,000 acres of arid desert was dominated by sagebrush; the southern boundary of the camp was formed by the man-made North Side canal.","Held people from Washington, Oregon, and Alaska; in 1943 many of the incarcerees from Bainbridge Island, Washington, were transferred at their own request to Minidoka from Manzanar.",,,,,"9,397",1943-03-01,"Hunt, Idaho",Idaho,tgn/2025735,42.6782431,-114.2500316,
yes,yes,wra,Concentration Camp,9,9-w-rohw,w-rohw,Concentration Camp,Rohwer,https://encyclopedia.densho.org/Rohwer/,Rohwer,published,"September 18, 1942","November 30, 1945","Located at 140 feet of elevation in Desha County in southeastern Arkansas, 110 miles southeast of Little Rock and 11 miles north of McGehee. The 10,161 acres of wooded swampland were in an impoverished area 27 miles north of the Jerome incarceration camp. The Mississippi River is 5 miles to the east. Summers are hot and humid, with chiggers and mosquitoes adding to the discomfort. The site had severe drainage problems; about half of the site was under swampy water during the spring.","Held people from Los Angeles and San Joaquin, California; incarcerees endured a three-day train ride to Arkansas.",,,,,"8,475",1943-03-11,"Rohwer, Arkansas",Arkansas,tgn/2009393,33.6255234,-91.3945566,
yes,yes,wra,Concentration Camp,10,10-w-tule,w-tule,Concentration Camp,Tule Lake,https://encyclopedia.densho.org/Tule_Lake/,Tule Lake,published,"May 27, 1942","March 20, 1946","Located at an elevation of 4,000 feet on a flat treeless area in Modoc County, 35 miles southeast of Klamath Falls, Oregon, and 10 miles from the town of Tulelake. (The town is spelled as one word and the incarceration camp as two.) Mt. Shasta is 50 miles away and visible on a clear day. The soil is sandy loam; vegetation is sparse grass and sagebrush. Winters are long and cold; summers are hot and dry.","First to arrive were 500 volunteer residents from the Portland and Puyallup Assembly Centers. Others arrived from the Marysville, Pinedale, Pomona, Sacramento, and Salinas Assembly Centers in California. Some were sent directly from the southern San Joaquin Valley. After it became a segregation center, the camp held people from California, Hawaii, Washington, and Oregon.",,,,,"18,789",1944-12-25,"Newell, California",California,tgn/2012922,41.8882132,-121.3722116,
yes,yes,wra,Temporary Assembly Center,11,11-a-puya,a-puya,Temporary Assembly Center,Puyallup (Camp Harmony),https://encyclopedia.densho.org/Puyallup_(detention_facility)/,Puyallup (detention facility),,"April 28, 1942","September 12, 1942","Located on the Western Washington State Fairgrounds, 35 miles south of Seattle, Washington.","Held people from Seattle and Tacoma, Washington; also held some from Alaska.",,"Tule Lake, Minidoka",,,"7,390",1942-07-25,"Puyallup, Washington",Washington,tgn/2116562,47.1853785,-122.2928974,
yes,yes,wra,Temporary Assembly Center,12,12-a-port,a-port,Temporary Assembly Center,Portland,https://encyclopedia.densho.org/Portland_(detention_facility)/,Portland (detention facility),,"May 2, 1942","September 10, 1942","Located at the eleven-acre Pacific International Livestock Exposition Pavilion in Portland, Oregon.",Held people from northeast Oregon and central Washington.,,"Heart Mountain, Minidoka, and Tule Lake",,,"3,676",1942-06-06,"Portland, Oregon",Oregon,tgn/7014273,45.5234515,-122.6762071,
yes,yes,wra,Temporary Assembly Center,13,13-a-mary,a-mary,Temporary Assembly Center,Marysville,https://encyclopedia.densho.org/Marysville_(detention_facility)/,Marysville (detention facility),,"May 8, 1942","June 29, 1942","Located about 8 miles south of Marysville, California. Late spring rains delayed the camp's opening from the slated date of April 16, 1942.","Held people from Placer and Sacramento Counties, California.",,Tule Lake,,,"2,451",1942-06-02,"Marysville, California",California,tgn/2012626,39.1457253,-121.5913547,
yes,yes,wra,Temporary Assembly Center,14,14-a-sacr,a-sacr,Temporary Assembly Center,Sacramento (Walerga),https://encyclopedia.densho.org/Sacramento_(detention_facility)/,Sacramento (detention facility),,"May 6, 1942","June 26, 1942","Located 15 miles northeast of downtown Sacramento, California.","Held people from Sacramento and San Joaquin Counties, California.",,Tule Lake,,,"4,739",1942-05-30,"Sacramento, California",California,tgn/1002841,38.5815719,-121.4943996,
yes,yes,wra,Temporary Assembly Center,15,15-a-tanf,a-tanf,Temporary Assembly Center,Tanforan,https://encyclopedia.densho.org/Tanforan_(detention_facility)/,Tanforan (detention facility),,"April 28, 1942","October 13, 1942","Located 12 miles south of San Francisco, California.",Held people from the San Francisco Bay area of California.,,Topaz,,,"7,816",1942-07-25,"San Bruno, California",California,tgn/7394300,37.6304904,-122.4110835,
yes,yes,wra,Temporary Assembly Center,16,16-a-stoc,a-stoc,Temporary Assembly Center,Stockton,https://encyclopedia.densho.org/Stockton_(detention_facility)/,Stockton (detention facility),,"May 10, 1942","October 17, 1942","Located at the San Joaquin County Fairgrounds in Stockton, California.","Held people from San Joaquin County, California.",,"Rohwer, Gila River",,,"4,271",1942-05-21,"Stockton, California",California,tgn/7014545,37.9577016,-121.2907796,
yes,yes,wra,Temporary Assembly Center,17,17-a-turl,a-turl,Temporary Assembly Center,Turlock,https://encyclopedia.densho.org/Turlock_(detention_facility)/,Turlock (detention facility),,"April 30, 1942","August 12, 1942","Located in the town of Turlock, California.","Held people from the Sacramento River delta and Los Angeles, California.",,Gila River,,,"3,661",1942-06-02,"Turlock, California",California,tgn/7014665,37.4946568,-120.8465941,
yes,yes,wra,Temporary Assembly Center,18,18-a-sali,a-sali,Temporary Assembly Center,Salinas,https://encyclopedia.densho.org/Salinas_(detention_facility)/,Salinas (detention facility),,"April 27, 1942","July 4, 1942","Located at the north end of the town of Salinas, California.",Held people from the Monterey Bay area of California.,,Poston;Tule Lake,,,"3,586",1942-06-23,"Salinas, California",California,tgn/7389748,36.6777372,-121.6555013,
yes,yes,wra,Temporary Assembly Center,19,19-a-merc,a-merc,Temporary Assembly Center,Merced,https://encyclopedia.densho.org/Merced_(detention_facility)/,Merced (detention facility),,"May 6, 1942","September 15, 1942",Located in California's central San Joaquin Valley within the town of Merced at the county fairgrounds; the buildings were sited south of the fairgrounds proper.,"Held people from the Northern California coast, west Sacramento Valley, and northern San Joaquin Valley, California.",,Granada,,,"4,508",1942-06-03,"Merced, California",California,tgn/1002656,37.3021632,-120.4829677,
yes,yes,wra,Temporary Assembly Center,20,20-a-pine,a-pine,Temporary Assembly Center,Pinedale,https://encyclopedia.densho.org/Pinedale_(detention_facility)/,Pinedale (detention facility),,"May 7, 1942","July 23, 1942","Located 8 miles north of downtown Fresno, California.",Held people from Sacramento and El Dorado Counties in California; also held people from Oregon and Washington.,,"Tule Lake, Poston",,,"4,792",1942-06-29,"Pinedale, California",California,tgn/2011481,36.8411529,-119.7961611,
yes,yes,wra,Temporary Assembly Center,21,21-a-fres,a-fres,Temporary Assembly Center,Fresno,https://encyclopedia.densho.org/Fresno_(detention_facility)/,Fresno (detention facility),,"May 6, 1942","October 30, 1942",Located at the Fresno County Fairgrounds in central California.,"Held people from the central San Joaquin Valley and Amador County, California.",,"Jerome, Gila River",,,"5,120",1942-09-04,"Fresno, California",California,tgn/7014030,36.7468422,-119.7725868,
yes,yes,wra,Temporary Assembly Center,22,22-a-tula,a-tula,Temporary Assembly Center,Tulare,https://encyclopedia.densho.org/Tulare_(detention_facility)/,Tulare (detention facility),,"April 20, 1942","September 4, 1942",Located in the southern San Joaquin Valley of California.,Held people from California: Los Angeles and Sacramento Counties and the Southern California coast.,,Gila River,,,"4,978",1942-08-11,"Tulare, California",California,tgn/1002956,36.2077288,-119.3473379,
yes,yes,wra,Temporary Assembly Center,23,23-a-sant,a-sant,Temporary Assembly Center,Santa Anita,https://encyclopedia.densho.org/Santa_Anita_(detention_facility)/,Santa Anita (detention facility),,"March 27, 1942","October 27, 1942","Located at the world-famous Santa Anita Racetrack in Arcadia, California.","Held people from Los Angeles, San Diego, and Santa Clara Counties, California.",,"Poston, Topaz, Gila River, Heart Mountain, Jerome, Rohwer, Granada, and Manzanar",,,"18,719",1942-08-23,"Arcadia, California",California,tgn/7013315,34.1397292,-118.0353449,
yes,yes,wra,Temporary Assembly Center,24,24-a-pomo,a-pomo,Temporary Assembly Center,Pomona,https://encyclopedia.densho.org/Pomona_(detention_facility)/,Pomona (detention facility),,"May 7, 1942","August 24, 1942",Located at the Los Angeles County Fairgrounds (Fairplex) in Southern California.,"Held people from Los Angeles, San Francisco, and Santa Clara Counties in California.",,Heart Mountain,,,"5,434",1942-07-20,"Pomona, California",California,tgn/7014425,34.0552267,-117.7523048,
yes,yes,wra,Temporary Assembly Center,25,25-a-maye,a-maye,Temporary Assembly Center,Mayer,https://encyclopedia.densho.org/Mayer_(detention_facility)/,Mayer (detention facility),,"May 7, 1942","June 2, 1942","Located 75 miles northwest of Phoenix, Arizona, Mayer was set on land that was originally farmland.",Held people from southern Arizona.,,Poston,,,245,1942-05-25,"Mayer, Arizona",Arizona,tgn/2007019,34.3978054,-112.2362734,
yes,yes,eais,Department of Justice Internment Camp,27,27-d-sant,d-sant,Department of Justice Internment Camp,Santa Fe,https://encyclopedia.densho.org/Santa_Fe_(detention_facility)/,Santa Fe (detention facility),,February 1942,September 1946,"Located 2.5 miles west of the Santa Fe city center, this 80-acre site in northern New Mexico included a Civilian Conservation Corps (CCC) camp.","Held people of Japanese descent from the continental U.S., Alaska, Hawaii, Latin America, and the Pacific Islands. Later included internees transferred from Tule Lake segregation center: 866 Japanese American ""renunciants,"" those who had given up their U.S. citizenship, and 313 designated ""troublemakers."" After 1942, German and Italian nationals were held here.",,,,,"2,100",1945-06-01,"Santa Fe, New Mexico",New Mexico,tgn/2001454,35.6869752,-105.937799,
yes,yes,eais,Department of Justice Internment Camp,28,28-d-linc,d-linc,Department of Justice Internment Camp,Fort Lincoln (Bismarck),https://encyclopedia.densho.org/Fort_Lincoln_(Bismarck)_(detention_facility)/,Fort Lincoln (Bismarck) (detention facility),,"December 7, 1941","March 6, 1946","Located in Morton County, 5 miles south of Bismarck, North Dakota, on a U.S. Army base.","Held Japanese and German nationals; German and Italian seamen; and Japanese American ""renunciants,"" those who had given up their U.S. citizenship.",,,,,"1,518",1942-02-01,"Bismarck, North Dakota",North Dakota,tgn/2007755,46.8083268,-100.7837392,
yes,yes,eais,Department of Justice Internment Camp,29,29-d-crys,d-crys,Department of Justice Internment Camp,Crystal City,https://encyclopedia.densho.org/Crystal_City_(detention_facility)/,Crystal City (detention facility),,"November 2, 1942",January 1948,"Located in Zavala County in South Texas, 170 miles west of Corpus Christi. Semiarid grasslands with an average annual rainfall of about 21 inches. Summers are hot and humid, with temperatures exceeding 100 degrees.",Held people of Japanese ancestry from the U.S. and Latin America and their families; also held German and Italian nationals and their families.,,,,,"4,000",,"Crystal City, Texas",Texas,tgn/2103556,28.6774795,-99.8281104,
yes,yes,eais,Department of Justice Internment Camp,30,30-d-miss,d-miss,Department of Justice Internment Camp,Fort Missoula,https://encyclopedia.densho.org/Fort_Missoula_(detention_facility)/,Fort Missoula (detention facility),,"December 18, 1941","July 1, 1944","Located at an old U.S. Army post on the southwest edge of Missoula, Montana, that was turned over to the Department of Justice (DOJ) in 1941. Missoula is in western Montana.","Held more than 1,000 Italian seamen captured in U.S. waters; also held 1,250 Japanese immigrants from the continental U.S. and Hawaii.",,,,,"2,003",,"Missoula, Montana",Montana,tgn/2001291,46.8605189,-114.019501,
yes,yes,wra,Citizen Isolation Center,31,31-c-moab,c-moab,Citizen Isolation Center,Moab Isolation Center,https://encyclopedia.densho.org/Moab_(detention_facility)/,Moab (detention facility),,"January 11, 1943","April 27, 1943","Located at Dalton Wells, 13 miles north of Moab in southeastern Utah. Summer temperatures reach the high 90s. Vegetation included sagebrush, tumbleweed, cottonwood, and tamarisk trees. The drab and desolate area was used for stock grazing.","Nisei and kibei men designated ""troublemakers"" by War Relocation Authority (WRA) camp directors were imprisoned at Moab. (U.S. citizens could not be sent to the Department of Justice or U.S. Army internment camps.) The first to arrive were sixteen men removed from Manzanar after a riot.",,Leupp Citizen Isolation Center,,,83,,"Dalton Wells, Utah",Utah,tgn/2108807,39.3209801,-111.0937311,
yes,yes,wra,Citizen Isolation Center,32,32-c-leup,c-leup,Citizen Isolation Center,Leupp,https://encyclopedia.densho.org/Leupp_(detention_facility)/,Leupp (detention facility),,"April 27, 1943","December 2, 1943","The Leupp camp, in the high desert of northeastern Arizona about 30 miles northwest of Winslow, was located at an abandoned Navajo Indian Reservation boarding school.","Inmates from the Moab Citizen Isolation Center were transferred to Leupp, and other designated ""troublemakers"" were sent to Leupp from various War Relocation Authority (WRA) camps at the discretion of camp administrators.",,Tule Lake Segregation Center,,,50 to 100,,"Leupp, Arizona",Arizona,tgn/2006972,35.2980659,-111.0062528,https://www.intermountainhistories.org/items/show/52
yes,yes,eais,U.S. Federal Prison,33,33-p-mcne,p-mcne,U.S. Federal Prison,McNeil Island Federal Penitentiary,https://encyclopedia.densho.org/McNeil_Island_Penitentiary_(detention_facility)/,McNeil Island Penitentiary (detention facility),,,,"Work prison located on an island in the southern portion of Puget Sound, 10 miles southwest of Tacoma, Washington. Currently a medium-security state correctional facility holding about 1,000 male inmates.",Younger draft resisters from Heart Mountain and Minidoka incarceration camps were held here. Gordon Hirabayashi was also imprisoned here for draft resistance.,,,,,,,"McNeil Island, Washington",Washington,tgn/1008106,47.2133614,-122.6815078,
yes,yes,eais,U.S. Army Internment Camp,34,34-u-lord,u-lord,U.S. Army Internment Camp,Lordsburg,https://encyclopedia.densho.org/Lordsburg_(detention_facility)/,Lordsburg (detention facility),,"June 15, 1942",1944,"Located on 1,300 acres of desert land near Lordsburg in southwest New Mexico.","Held internees of Japanese ancestry transferred from numerous U.S. Army- and Departmen of Justice-run internment camps; also held German nationals, German and Japanese prisoners of war (POWs), as well as U.S. Army soldiers who had been convicted of various offenses.",,,,,"1,500",,"Lordsburg, New Mexico",New Mexico,tgn/2067142,32.3503605,-108.7086649,
yes,yes,eais,Department of Justice Internment Camp,35,35-d-stan,d-stan,Department of Justice Internment Camp,Fort Stanton,https://encyclopedia.densho.org/Fort_Stanton_(detention_facility)/,Fort Stanton (detention facility),,,,"Located in isolated southern New Mexico in Lincoln County, 35 miles north of Ruidoso. Fort Stanton was originally established in 1855 and was used in 1899 as a tuberculosis sanatorium.","Mostly held German nationals and German seamen from the luxury liner <i>Columbus</i> captured in U.S. waters in 1939. Also held those considered by the Department of Justice to be the most ""troublesome"" Japanese internees: ten nisei and kibei ""renunciants"" and seven issei transferred from the Santa Fe internment camp.",,,,,17,,"Fort Stanton, New Mexico",New Mexico,tgn/2066966,33.495914,-105.5230362,
yes,yes,,U.S. Federal Prison,36,36-p-cata,p-cata,U.S. Federal Prison,Catalina Federal Honor Camp,https://encyclopedia.densho.org/Catalina_Federal_Honor_Camp_(detention_facility)/,Catalina Federal Honor Camp (detention facility),,,,"Located in the Santa Catalina Mountains, northeast of Tucson, Arizona. The camp was established in 1939 within southern Arizona's Coronado National Forest to provide prison labor to build mountain highways.","Held draft resisters mainly from Granada incarceration camp, some from Poston and Topaz incarceration camps; Gordon Hirabayashi, who was imprisoned after losing his Supreme Court case against the exclusion order, was transferred here to complete his sentence.",,,,,46,,"Santa Catalina Mountains, Arizona",Arizona,tgn/2643964,32.4303529,-110.7053702,
yes,yes,wra,Additional Facility,37,37-f-cowc,f-cowc,Additional Facility,Cow Creek,https://encyclopedia.densho.org/Cow_Creek_(detention_facility)/,Cow Creek (detention facility),,"December 10, 1942","February 15, 1943","Located in the desert of California near the Death Valley National Monument, one of the hottest places on Earth. Summer temperatures stay well over 100 degrees. Death Valley encompasses the lowest point in the Western Hemisphere at 282 feet below sea level and is the driest place in North America with an average rainfall of only 1.96 inches a year.",Held forty men and their families from the Manzanar incarceration camp.,,resettled outside camps,,,66,,"Cow Creek, California",California,tgn/2262158,40.9177102,-123.4980211,https://oregonnews.uoregon.edu/lccn/sn99063863/1942-06-11/ed-1/; https://www.malheurco.org/parks-department/cow-hollow-park/
yes,yes,eais,Department of Justice Internment Camp,38,38-d-kene,d-kene,Department of Justice Internment Camp,Kenedy,https://encyclopedia.densho.org/Kenedy_(detention_facility)/,Kenedy (detention facility),,"April 1, 1942",September 1945,"Located 50 miles southeast of San Antonio, Texas, in Karnes County on the site of a closed Civilian Conservation Corps (CCC) camp.","Held people of Japanese, German, and Italian descent from the U.S. and Latin America; also held Japanese and German prisoners of war (POWs).",,,,,700,1943-10-01,"Kenedy, Texas",Texas,tgn/2002016,28.8191468,-97.8486123,
